plec,wiek,waga
M,52,39.7346941754222
K,29,11.3061011768878
M,52,150.741402237656
M,40,83.6040405514551
K,74,11.0738019924611
M,28,407.412952722466
K,18,86.8167660709432
K,66,16.1612674593925
M,39,537.094400979974
K,24,38.373187975958
M,41,149.292482451756
M,47,112.0384439784
M,26,9.0409008320421
K,53,646.468113138717
K,32,96.4445140170765
M,27,357.225454391396
K,30,105.93792842281
M,34,106.690238039465
K,37,142.883199102001
K,18,187.039177856388
K,28,133.583543538572
K,33,150.694120666924
M,29,524.326656915643
M,18,20.347763132304
M,34,12.1552219269962
K,65,349.979731978333
M,23,17.2231432516128
M,52,83.9048408233626
K,51,50.96465498209
K,45,95.0444663066282
K,27,74.9955328536712
K,23,288.040643168573
K,36,20.4177798395743
M,49,182.471792484875
M,43,36.2643350741198
M,70,43.1831268593669
K,38,48.1285465881229
M,27,324.127108586912
K,18,13.941732480756
M,42,31.5734075260319
M,23,129.102040171148
M,33,240.752202818606
M,45,26.0701420716941
K,24,108.988969573558
M,34,26.2659104244184
K,64,12.9102476754502
K,50,43.6231649015099
K,30,8.36132080294192
M,34,202.399514793398
M,41,8.56621293121425
K,51,56.3430252019316
M,46,7.91934015625933
K,47,24.0939003415406
K,37,14.017980735944
M,37,50.0532358136996
M,44,83.4256983320129
K,18,106.778270374508
K,63,105.872084661843
K,36,57.5919593684375
K,48,115.114714480461
K,60,33.0245110206306
K,69,118.439422077955
K,31,213.630133056377
M,38,179.45151272321
K,18,183.398345849457
M,44,34.6855105366558
M,39,21.3990959804505
M,48,73.1252405750466
K,43,18.0725906975567
K,18,132.712004329534
M,25,7.49714263990825
K,26,173.259298122468
M,52,342.314604653006
K,18,10.6562865898013
K,52,152.166361725869
M,63,165.737095839324
K,31,55.7618027087301
K,37,78.4311630423389
M,57,54.7762275207788
K,18,137.800340350242
K,22,280.130153416041
K,52,133.60497932461
K,18,126.327127120913
K,27,28.471375675872
M,52,292.253714038019
K,43,256.815780500386
M,42,0.290981464272546
K,25,1.64757780730724
K,67,11.7823004256934
M,62,103.891244805874
M,40,39.6585572976619
M,21,83.2066607619536
M,20,0.433750636875629
K,47,28.3044363837689
M,36,5.17904308859231
K,35,27.5642773136497
M,35,34.2522131279111
K,62,280.621510069659
M,48,37.1158346370965
M,35,115.579011380197
K,18,39.4265661481768
M,59,56.7645796108991
K,49,355.163556424309
M,42,7.81978015909064
K,43,120.73972094384
M,27,308.338287099725
K,38,265.614218065951
K,18,60.4226173833013
K,39,45.3526952303946
M,33,84.8088801484398
K,21,65.1640381981333
M,58,4.97755585238338
M,30,407.117191494858
K,64,77.6410168926132
K,47,22.0029065259484
M,27,74.1877358364773
M,53,67.3491579480469
K,74,153.095207168701
K,41,286.216303689365
K,42,133.804035927625
M,52,128.193248990448
K,24,267.86416749141
M,35,173.684104523602
K,29,21.0974372087899
M,37,151.168526141884
K,53,10.3253994137049
M,36,28.8189713377506
M,23,193.30742227936
M,38,21.5366681358451
M,38,28.4125741839572
K,19,145.145090102198
K,25,39.8320088856441
K,18,156.64607322866
K,35,282.382687442295
M,28,11.1283484380692
M,58,217.764854543458
M,23,220.794234598491
K,50,25.7701785303652
K,43,233.169708016616
M,61,9.10750453002363
M,28,151.388213142702
K,32,201.345673195067
K,50,124.999534148247
K,51,119.343152471263
M,43,222.706024894927
M,20,152.683149642291
M,26,37.4716491603657
K,70,36.1357466750562
M,33,63.0252125672996
K,18,96.0588868665409
K,55,308.572842908983
K,27,229.457464615319
M,34,36.0821668989956
K,36,116.563797644795
M,48,86.5826881448639
K,56,40.5815936625004
K,30,81.0848646944018
K,35,44.8009284468721
K,37,110.195428427481
K,40,71.6119333128345
K,49,44.4142588879913
M,31,202.772253743353
M,42,137.239068462969
K,53,18.8198630698025
M,18,34.1192460618913
M,48,49.7462443076074
K,29,78.8183362992666
M,53,179.462059132532
M,39,65.7501483336091
K,34,41.2324348464608
M,47,29.8133465461433
M,38,391.274412260866
K,36,12.4925693497062
M,29,30.1251206081361
K,34,60.3528554551303
M,27,6.79686772637069
K,39,267.427790711138
K,39,221.46755325279
M,49,12.5908125690419
M,19,43.7503376162489
K,38,56.2164846807718
M,48,29.1088017169386
K,44,18.745193304494
M,80,1.35271311737597
K,49,307.349927738908
M,36,0.982588762417436
M,50,26.2099701911211
M,41,106.495590969445
M,32,67.7537912037224
K,22,227.369098850766
K,35,43.5998292639852
K,36,64.8441093973815
K,52,16.6108639970404
K,55,56.0653051361442
K,52,76.5560171524895
K,28,67.6245074253529
K,34,100.152361176684
K,65,13.4086093165174
M,66,13.2440785336215
M,18,56.1257358640432
M,26,27.8440108522773
K,58,106.867679297448
M,37,49.7465491760522
K,25,135.246689147772
M,32,40.7921551261097
K,24,45.4991168342531
M,40,18.674780103703
K,32,166.259081699309
K,48,21.7900422401726
M,49,108.315612092139
M,32,9.14763729088008
M,33,142.855632469072
K,42,95.4097748692048
K,45,92.4306506249023
M,64,5.44990231283009
K,35,86.8528304579568
K,37,10.8988876920193
M,67,2.18549173947679
K,48,3.32698460083465
K,43,84.5013921823018
K,53,11.3257409046113
M,23,197.180457459464
M,31,17.0695924200118
K,40,38.1858779240189
K,26,34.3419100565911
M,55,144.134368552806
K,52,29.2513930238783
M,56,242.052653978083
K,53,152.212228072927
K,38,15.6949599353357
K,25,174.432757567822
K,56,54.5951874461025
M,20,98.4172297599626
K,42,414.823940934098
M,18,287.519597173969
M,35,58.9126736856997
K,56,3.32252169027925
K,46,390.543285550034
M,65,102.459167312355
M,22,132.441090322555
K,38,35.3472209069878
K,20,158.51766373122
K,53,133.033789410712
K,30,247.32794369242
K,21,278.56532333601
K,41,96.0724697436245
K,37,22.8043726015011
M,35,33.2371960859746
K,56,80.5051664779795
M,34,157.903953590598
K,37,13.2931969468302
K,50,345.861692709808
K,69,56.500237248838
K,40,88.005294466753
K,57,117.958856556089
K,34,114.423877462269
K,39,113.800271503152
K,42,55.1316394470632
M,22,56.5158729907125
K,75,111.397632579775
K,25,45.7256916444749
K,38,99.7880306052876
M,18,31.8411859417303
M,37,124.96543014002
K,18,18.2833186457763
M,28,529.043124773004
K,35,202.611967354062
K,44,86.9701766366971
M,18,27.3450921755284
M,36,165.220784665878
K,33,387.867717982686
